Scientific_name;Species;Family;Trophic group;Group;Island;Mean;SE;SD;n
Acanthurus bahianus;ACABAH;Acanthuridae;Rov.Herbiv.;RH;ESC;8.8;1.76;13.05;1
Acanthurus bahianus;ACABAH;Acanthuridae;Rov.Herbiv.;RH;TRE;9;0.97;8.23;1
Acanthurus chirurgus;ACACHI;Acanthuridae;Rov.Herbiv.;RH;ESC;1.42;0.34;2.52;2
Acanthurus chirurgus;ACACHI;Acanthuridae;Rov.Herbiv.;RH;TRE;0.35;0.1;0.85;2
Acanthurus coeruleus;ACACOE;Acanthuridae;Rov.Herbiv.;RH;ESC;0.29;0.16;1.19;3
Acanthurus coeruleus;ACACOE;Acanthuridae;Rov.Herbiv.;RH;TRE;0.22;0.05;0.42;3
Aulostomus strigosus;AULSTR;Aulostomidae;Piscivore;PI;ESC;0.42;0.09;0.67;4
Aulostomus strigosus;AULSTR;Aulostomidae;Piscivore;PI;TRE;NA;NA;NA;4
Parablennius spp.;PARSPP;Blenniidae;Omnivore;OM;ESC;0.38;0.1;0.74;5
Parablennius spp.;PARSPP;Blenniidae;Omnivore;OM;TRE;0.68;0.12;1.02;5
Bothus lunatus;BOTLUN;Bothidae;Carnivore;CA;ESC;0.04;0.03;0.22;6
Bothus lunatus;BOTLUN;Bothidae;Carnivore;CA;TRE;NA;NA;NA;6
Caranx crysos;CARCRY;Carangidae;Piscivore;PI;ESC;3.6;9.21;68.3;7
Caranx crysos;CARCRY;Carangidae;Piscivore;PI;TRE;NA;NA;NA;7
Chaetodon sedentarius;CHASED;Chaetodontidae;SessileInvert.;SI;ESC;0.25;0.09;0.67;8
Chaetodon sedentarius;CHASED;Chaetodontidae;SessileInvert.;SI;TRE;0.01;0.01;0.08;8
Chaetodon striatus;CHASTR;Chaenopsidae;SessileInvert.;SI;ESC;1.29;0.17;1.26;9
Chaetodon striatus;CHASTR;Chaenopsidae;SessileInvert.;SI;TRE;2.63;0.26;2.21;9
Emblemariopsis signifera;EMBSIG;Chaenopsidae;Mob.Invert.;MI;ESC;0.11;0.05;0.37;10
Emblemariopsis signifera;EMBSIG;Chaenopsidae;Mob.Invert.;MI;TRE;NA;NA;NA;10
Dactylopterus volitans;DACVOL;Dactylopteridae;Mob.Invert.;MI;ESC;0.02;0.02;0.15;11
Dactylopterus volitans;DACVOL;Dactylopteridae;Mob.Invert.;MI;TRE;NA;NA;NA;11
Amblycirrhitus pinos;AMBPIN;Cirrhitidae;Mob.Invert.;MI;ESC;0.42;0.1;0.74;12
Amblycirrhitus pinos;AMBPIN;Cirrhitidae;Mob.Invert.;MI;TRE;0.03;0.02;0.17;12
Diodon hystrix;DIOHYS;Diodontidae;Mob.Invert.;MI;ESC;0.02;0.02;0.15;13
Diodon hystrix;DIOHYS;Diodontidae;Mob.Invert.;MI;TRE;NA;NA;NA;13
Coryphopterus glaucofraenum;CORGLA;Gobiidae;Planktivore;PL;ESC;0.09;0.05;0.37;14
Coryphopterus glaucofraenum;CORGLA;Gobiidae;Planktivore;PL;TRE;0.65;0.14;1.19;14
