ID;Island;Algal_turf;Macroalgae;Enc_calcar;Sponges;Milleporids;Mass_corals;Zoanthids;Octocorals;Ascidians;Polychaeta;Crinoids;Urchin;Mollusc_shells;Bryozoa;Hydrozoa;Anthozoa;NI
ID127;TRE;73.3;3.3;0;13.3;0;0;0;0;0;0;10;0;0;0;0;0;0
ID127;TRE;80;0;0;10;0;0;0;0;0;0;10;0;0;0;0;0;0
ID127;TRE;66.7;0;0;0;0;0;0;0;6.7;0;26.7;0;0;0;0;0;0
ID127;TRE;73.3;6.7;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0
ID128;TRE;53.3;20;13.3;0;0;0;0;0;0;0;13.3;0;0;0;0;0;0
ID128;TRE;26.6;6.6;6.6;0;0;0;0;6.6;0;0;53.3;0;0;0;0;0;0
ID128;TRE;43.3;3.3;6.6;0;0;0;0;3.3;6.6;0;36.6;0;0;0;0;0;0
ID128;TRE;56.6;20;6.6;0;0;0;0;3.3;0;0;13.3;0;0;0;0;0;0
ID129;TRE;63.3;6.6;0;0;0;0;0;0;10;0;20;0;0;0;0;0;0
ID129;TRE;73.3;0;0;13.3;0;0;0;0;3.3;0;10;0;0;0;0;0;0
ID129;TRE;63.3;13.3;0;20;0;0;0;0;0;0;3.3;0;0;0;0;0;0
ID129;TRE;43.3;33.3;0;0;0;0;0;16.6;3.3;0;3.3;0;0;0;0;0;0
ID190;RAS;20;16.6;0;63.3;0;0;0;0;0;0;0;0;0;0;0;0;0
ID190;RAS;16.7;6.7;36.7;6.7;0;33.3;0;0;0;0;0;0;0;0;0;0;0
ID190;RAS;20;13.3;56.7;0;0;0;0;10;0;0;0;0;0;0;0;0;0
ID190;RAS;20;0;30;13.3;0;3.3;33.3;0;0;0;0;0;0;0;0;0;0
ID192;RAS;40;26.7;10;10;0;0;0;3.3;0;0;10;0;0;0;0;0;0
ID192;RAS;36.7;13.3;3.3;6.7;0;36.7;0;0;3.3;0;0;0;0;0;0;0;0
ID192;RAS;63.3;26.7;3.3;6.7;0;0;0;0;0;0;0;0;0;0;0;0;0
ID192;RAS;33.3;43.3;3.3;0;0;0;0;20;0;0;0;0;0;0;0;0;0
