Scientific_name;Species;Family;Group;IUCN;ICMBio;INMA;Genus;spp
Acanthurus bahianus;ACABAH;Acanthuridae;RH;LC;LC;NE;Acanthurus;bahianus
Acanthurus chirurgus;ACACHI;Acanthuridae;RH;LC;LC;NE;Acanthurus;chirurgus
Acanthurus coeruleus;ACACOE;Acanthuridae;RH;LC;LC;NE;Acanthurus;coeruleus
Aulostomus strigosus;AULSTR;Aulostomidae;PI;LC;LC;NE;Aulostomus;strigosus
Balistes vetula;BALVET;Balistidae;SI;NT;NT;NT;Balistes;vetula
Hypleurochilus fissicornis;HYPFIS;Blenniidae;OM;LC;LC;NE;Hypleurochilus;fissicornis
Ophioblennius trinitatis ;OPHTRI;Blenniidae;OM;LC;LC;NE;Ophioblennius;trinitatis
Parablennius marmoreus;PARMAR;Blenniidae;OM;LC;LC;NE;Parablennius;marmoreus
Parablennius pilicornis;PARPIL;Blenniidae;OM;LC;LC;NE;Parablennius;pilicornis
Caranx bartholomaei;CARBAR;Carangidae;PI;LC;LC;NE;Caranx;bartholomaei
Caranx crysos;CARCRY;Carangidae;PI;LC;LC;VU;Caranx;crysos
Caranx latus;CARLAT;Carangidae;PI;LC;LC;NT;Caranx;latus
Caranx ruber;CARRUB;Carangidae;PI;LC;LC;NE;Caranx;ruber
Selene setapinnis;SELSET;Carangidae;PI;LC;LC;NE;Selene;setapinnis
Chaetodon sedentarius;CHASED;Chaetodontidae;SI;LC;LC;DD;Chaetodon;sedentarius
Chaetodon striatus;CHASTR;Chaetodontidae;SI;LC;LC;DD;Chaetodon;striatus
Dactylopterus volitans;DACVOL;Dactylopteridae;MI;LC;LC;NE;Dactylopterus;volitans
Chilomycterus reticulatus;CHIRET;Diodontidae;MI;LC;LC;NE;Chilomycterus;reticulatus
Chilomycterus spinosus;CHISPI;Diodontidae;MI;LC;LC;NE;Chilomycterus;spinosus
Diodon holacanthus;DIOHOL;Diodontidae;MI;LC;LC;NE;Diodon;holacanthus
Diodon hystrix;DIOHYS;Diodontidae;MI;LC;LC;DD;Diodon;hystrix
Amblycirrhitus pinos;AMBPIN;Cirrhitidae;MI;LC;NE;DD;Amblycirrhitus;pinos
Alphestes afer;ALPAFE;Epinephelidae;CA;LC;DD;DD;Alphestes;afer
Cephalopholis fulva;CEPFUL;Epinephelidae;CA;LC;LC;EN;Cephalopholis;fulva
Dermatolepis inermis;DERINE;Epinephelidae;CA;DD;DD;EN;Dermatolepis;inermis
Paranthias furcifer;PARFUR;Epinephelidae;PL;LC;LC;NE;Paranthias;furcifer
Chaetodipterus faber;CHAFAB;Ephippidae;MI;LC;LC;DD;Chaetodipterus;faber
Coryphopterus glaucofraenum;CORGLA;Gobiidae;MI;LC;LC;NE;Coryphopterus;glaucofraenum
Corypophterus sp.;CORSPP;Gobiidae;MI;-;-;-;Corypophterus;NA
