Species;NMDS1;NMDS2
Turf_matrix;-0.03;0.027477648
Macroalgae;-0.010018509;-0.037902572
Enc_calcar;0.030838409;-0.01929631
Sponges;-0.006500446;0.0096807
Millepores;0.015730931;0.00285137
Mass_corals;0.009726559;0.012773153
Zoanthids;0.023644068;0.014464133
Octocorals;0.001855035;-0.015088057
Ascidians;-0.017664642;0.007829042
Polychaeta;-0.005230029;0.002809315
Crinoids;-0.018219918;0.008843228
Urchin;0.016481339;0.001230685
Molluscs;0.00732059;0.022281626
Bryozoa;0.000105572;-0.008902501
Hydrozoa;-0.003135256;0.002183807
Anthozoa;-0.00456774;0.002198689
NI;0.004299844;0.001151907
