Species;NMDS1;NMDS2
ABUSAX;0.034943694;0.003373096
ACABAH;0.005535115;-0.022050891
ACACHI;0.029457683;-0.023895201
ACACOE;0.008843161;0.000778799
ACAPOL;0.019980441;0.006557804
ACAQUA;0.010217499;0.008080492
AHLEGM;0;0
ALPAFE;0.003962961;0.008652631
AMBPIN;0.026073704;0.020344372
ANISUR;0.010946828;-0.002004291
ANIVIR;0.011514765;-0.002179241
AULSTR;0.025316701;0.004623468
AZUMUL;0.015391227;-0.012743295
BALVET;0;0
BODPUL;0.007386264;0.004536244
BODRUF;0.044166965;0.003438994
CALPEN;-0.002072292;0.00774322
CANFIG;0.019282365;0.034356656
CANMAC;0.030533119;0.019147347
CANPUL;0.018664807;0.023894857
CARBAR;-0.009372952;0.001849266
CARCRY;0.011253476;0.002403521
CARLAT;-0.016725222;-0.01397244
CARRUB;0.00282236;-0.010704122
CEPFUL;0.020827283;0.009591411
CHAFAB;0.007716402;-0.013499571
CHASED;-0.008127639;0.006458017
CHASTR;-0.01301733;0.02154127
CHIRET;0.017236263;-0.000214277
CHISPI;0.010727252;0.008804024
CHRJUB;0;0
CLEBRA;0.002797622;-0.016215711
CORSPP;-0.002051284;0.009331646
CORGLA;-0.005288795;0.01157649
CORTHR;0;0
CRYROS;0;0
CTESAE;0;0
DACVOL;0.010891325;-0.001317762
DERINE;0.013386048;-0.014492087
DIOHOL;0.016723989;-0.008408486
DIOHYS;0.015237518;0.001425768
DIPARG;0.023928857;-0.010305004
DIPRAD;-0.009632409;0.004853772
DULAUR;-0.00915944;0.004809396
ELAFIG;0;0
FISSPP;0;0
GOBKAL;0;0
GRABRA;0.018213787;0.021239792
GYMFUN;0;0
GYMMIR;0.008419078;0.008358202
GYMMOR;-0.013398816;0.016345987
GYMVIC;0;0
HAEATL;-0.006281964;0.003624885
HAEAUR;-0.007685647;-0.018763764
HAEPAR;0;0
HAEPLU;0.006089731;0.019434999
HALBRA;0.021598167;5.74E-06
HALDIM;0.013991629;0.00877564
HALPEN;-0.008202888;0.003024166
HALPOE;-0.03;0.03182812
HALSPP;0;0
HETCRU;-0.003807175;-0.003529351
HOLADS;0.011351981;0.011098593
HOLCIL;0.028138848;0.006699849
HOLTRI;0.041070383;-0.010606305
HYPFIS;0.004824059;0.008864455
KYPSPP;0.010353781;-0.017608331
LABCRI;-0.003491541;0.010918597
LABNUC;-0.011103766;0.021387659
LUTALE;0;0
LUTJOC;0.021026022;-0.007862906
MALDEL;-0.000621187;0.007838319
MALMAC;0;0
MALZAL;-0.015618055;0.033831847
MICCHR;0.007526029;-0.001443691
MUGSPP;0;0
MYRJAC;0.019022259;0.006183481
OCYCHR;0.006887483;-0.002953858
ODODEN;0.018471815;0.020029249
OPHTRI;0;0
OPIAUR;0.013326294;-0.013064823
ORTRUB;-0.006603995;0.01642478
PAGPAG;0;0
PARFUR;0;0
PARLIN;-0.004615346;0.01228024
PARMAR;-0.005869798;0.007011043
PARMOR;0.023302371;0.016435979
PARPIL;-0.002970854;0.005036736
PEMSCH;0.017624813;0.013987742
POMARC;0.004804881;0.011291679
POMPAR;-0.008981541;0.010909483
PRIARE;-0.002773864;0.006671683
PSEMAC;-0.026221845;-0.008425294
PSEPER;0;0
PTERAN;0;0
RIPSAP;0.000313455;0.005657377
SCATRI;0.003883163;-0.012167369
SCAZEL;0;0
SCOBRA;0.010165252;-0.006914009
SCOIST;0;0
SCOPLU;0.00130427;0.009474423
SELSET;0;0
SERBAL;-0.014260948;-0.00716863
SERFLA;-0.024672053;0.02925602
SPAAMP;0;0
SPAAXI;0.023471206;-0.008693666
SPAFRO;0.016235173;0.001777492
SPASPP;0.00341592;-0.00044698
SPATUI;-0.005772075;0.007116954
SPHSPE;0.013193914;0.007956378
SPHSPP;-0.007866805;-0.001246764
STEFUS;-0.019353276;0.030962687
STEHIS;0.001806554;0.007340096
STEPIC;0.019155403;0.020859257
STEVAR;-0.012117067;0.009077478
SYNINT;0.008527366;-0.004019276
SYNSPP;0.004679927;0.008655825
SYNSYN;0.008839954;0.016327381
THANOR;0.017534258;-0.010900603
