replicate;Group;Relative_abundance;Time;Island
1;Algal_turf;73.3;Current;TRE
1;Macroalgae;3.3;Current;TRE
1;Enc_calcar;0;Current;TRE
1;Sponges;13.3;Current;TRE
1;Milleporids;0;Current;TRE
1;Mass_corals;0;Current;TRE
1;Zoanthids;0;Current;TRE
1;Octocorals;0;Current;TRE
1;Ascidians;0;Current;TRE
1;Polychaeta;0;Current;TRE
1;Crinoids;10;Current;TRE
1;Urchin;0;Current;TRE
1;Mollusc_shells;0;Current;TRE
1;Bryozoa;0;Current;TRE
1;Hydrozoa;0;Current;TRE
1;Anthozoa;0;Current;TRE
1;NI;0;Current;TRE
2;Algal_turf;80;Current;TRE
2;Macroalgae;0;Current;TRE
2;Enc_calcar;0;Current;TRE
2;Sponges;10;Current;TRE
2;Milleporids;0;Current;TRE
2;Mass_corals;0;Current;TRE
2;Zoanthids;0;Current;TRE
2;Octocorals;0;Current;TRE
2;Ascidians;0;Current;TRE
2;Polychaeta;0;Current;TRE
2;Crinoids;10;Current;TRE
2;Urchin;0;Current;TRE
2;Mollusc_shells;0;Current;TRE
2;Bryozoa;0;Current;TRE
2;Hydrozoa;0;Current;TRE
2;Anthozoa;0;Current;TRE
2;NI;0;Current;TRE
3;Algal_turf;66.7;Current;TRE
3;Macroalgae;0;Current;TRE
3;Enc_calcar;0;Current;TRE
3;Sponges;0;Current;TRE
3;Milleporids;0;Current;TRE
3;Mass_corals;0;Current;TRE
3;Zoanthids;0;Current;TRE
3;Octocorals;0;Current;TRE
3;Ascidians;6.7;Current;TRE
3;Polychaeta;0;Current;TRE
3;Crinoids;26.7;Current;TRE
3;Urchin;0;Current;TRE
3;Mollusc_shells;0;Current;TRE
3;Bryozoa;0;Current;TRE
3;Hydrozoa;0;Current;TRE
3;Anthozoa;0;Current;TRE
3;NI;0;Current;TRE
4;Algal_turf;73.3;Current;TRE
4;Macroalgae;6.7;Current;TRE
4;Enc_calcar;0;Current;TRE
4;Sponges;0;Current;TRE
4;Milleporids;0;Current;TRE
4;Mass_corals;0;Current;TRE
4;Zoanthids;0;Current;TRE
4;Octocorals;0;Current;TRE
4;Ascidians;0;Current;TRE
4;Polychaeta;0;Current;TRE
4;Crinoids;20;Current;TRE
4;Urchin;0;Current;TRE
4;Mollusc_shells;0;Current;TRE
4;Bryozoa;0;Current;TRE
4;Hydrozoa;0;Current;TRE
4;Anthozoa;0;Current;TRE
4;NI;0;Current;TRE
5;Algal_turf;53.3;Current;TRE
5;Macroalgae;20;Current;TRE
5;Enc_calcar;13.3;Current;TRE
5;Sponges;0;Current;TRE
5;Milleporids;0;Current;TRE
5;Mass_corals;0;Current;TRE
5;Zoanthids;0;Current;TRE
