"replicate";"Species";"Abundance";"Time";"Island"
1;"ABUSAX";3;"Current";"TRE"
1;"ACABAH";20;"Current";"TRE"
1;"ACACHI";0;"Current";"TRE"
1;"ACACOE";0;"Current";"TRE"
1;"ACAPOL";0;"Current";"TRE"
1;"ACAQUA";0;"Current";"TRE"
1;"AHLEGM";0;"Current";"TRE"
1;"ALPAFE";0;"Current";"TRE"
1;"AMBPIN";0;"Current";"TRE"
1;"ANISUR";0;"Current";"TRE"
1;"ANIVIR";0;"Current";"TRE"
1;"AULSTR";0;"Current";"TRE"
1;"AZUMUL";0;"Current";"TRE"
1;"BALVET";0;"Current";"TRE"
1;"BODPUL";0;"Current";"TRE"
1;"BODRUF";0;"Current";"TRE"
1;"CALPEN";0;"Current";"TRE"
1;"CANFIG";0;"Current";"TRE"
1;"CANMAC";0;"Current";"TRE"
1;"CANPUL";1;"Current";"TRE"
1;"CARBAR";0;"Current";"TRE"
1;"CARCRY";0;"Current";"TRE"
1;"CARLAT";0;"Current";"TRE"
1;"CARRUB";0;"Current";"TRE"
1;"CEPFUL";0;"Current";"TRE"
1;"CHAFAB";0;"Current";"TRE"
1;"CHASED";0;"Current";"TRE"
1;"CHASTR";2;"Current";"TRE"
1;"CHIRET";0;"Current";"TRE"
1;"CHISPI";0;"Current";"TRE"
1;"CHRJUB";0;"Current";"TRE"
1;"CLEBRA";0;"Current";"TRE"
1;"CORSPP";0;"Current";"TRE"
1;"CORGLA";0;"Current";"TRE"
1;"CORTHR";0;"Current";"TRE"
1;"CRYROS";0;"Current";"TRE"
1;"CTESAE";0;"Current";"TRE"
1;"DACVOL";0;"Current";"TRE"
1;"DERINE";0;"Current";"TRE"
1;"DIOHOL";0;"Current";"TRE"
1;"DIOHYS";0;"Current";"TRE"
1;"DIPARG";0;"Current";"TRE"
1;"DIPRAD";0;"Current";"TRE"
1;"DULAUR";0;"Current";"TRE"
1;"ELAFIG";0;"Current";"TRE"
1;"FISSPP";0;"Current";"TRE"
1;"GOBKAL";0;"Current";"TRE"
1;"GRABRA";0;"Current";"TRE"
1;"GYMFUN";0;"Current";"TRE"
1;"GYMMIL";0;"Current";"TRE"
1;"GYMMOR";0;"Current";"TRE"
1;"GYMVIC";0;"Current";"TRE"
1;"HAEATL";0;"Current";"TRE"
1;"HAEAUR";0;"Current";"TRE"
1;"HAEPAR";0;"Current";"TRE"
1;"HAEPLU";0;"Current";"TRE"
1;"HALBRA";0;"Current";"TRE"
1;"HALDIM";0;"Current";"TRE"
1;"HALPEN";0;"Current";"TRE"
1;"HALPOE";8;"Current";"TRE"
1;"HALSPP";0;"Current";"TRE"
1;"HETCRU";0;"Current";"TRE"
1;"HOLADS";0;"Current";"TRE"
1;"HOLCIL";0;"Current";"TRE"
1;"HOLTRI";1;"Current";"TRE"
1;"HYPFIS";0;"Current";"TRE"
1;"KYPSPP";0;"Current";"TRE"
1;"LABCRI";0;"Current";"TRE"
1;"LABNUC";0;"Current";"TRE"
1;"LUTALE";0;"Current";"TRE"
1;"LUTJOC";0;"Current";"TRE"
1;"MALDEL";1;"Current";"TRE"
1;"MALMAC";0;"Current";"TRE"
1;"MALZAL";1;"Current";"TRE"
1;"MICCHR";0;"Current";"TRE"
1;"MYRJAC";0;"Current";"TRE"
1;"OCYCHR";0;"Current";"TRE"
1;"ODODEN";0;"Current";"TRE"
1;"OPHTRI";0;"Current";"TRE"
1;"OPIAUR";0;"Current";"TRE"
1;"ORTRUB";0;"Current";"TRE"
1;"PAGPAG";0;"Current";"TRE"
1;"PARFUR";0;"Current";"TRE"
1;"PARLIN";1;"Current";"TRE"
1;"PARMAR";0;"Current";"TRE"
1;"PARMOR";0;"Current";"TRE"
1;"PARPIL";0;"Current";"TRE"
1;"PEMSCH";0;"Current";"TRE"
1;"POMARC";0;"Current";"TRE"
1;"POMPAR";2;"Current";"TRE"
1;"PRIARE";0;"Current";"TRE"
1;"PSEMAC";10;"Current";"TRE"
1;"PSEPER";0;"Current";"TRE"
1;"PTERAN";0;"Current";"TRE"
1;"RYPSAP";0;"Current";"TRE"
1;"SCATRI";0;"Current";"TRE"
1;"SCAZEL";0;"Current";"TRE"
1;"SCOBRA";0;"Current";"TRE"
1;"SCOIST";0;"Current";"TRE"
1;"SCOPLU";0;"Current";"TRE"
1;"SELSET";0;"Current";"TRE"
1;"SERBAL";0;"Current";"TRE"
1;"SERFLA";0;"Current";"TRE"
1;"SPAAMP";0;"Current";"TRE"
1;"SPAAXI";0;"Current";"TRE"
1;"SPAFRO";0;"Current";"TRE"
1;"SPASPP";0;"Current";"TRE"
1;"SPATUI";0;"Current";"TRE"
1;"SPHSPE";0;"Current";"TRE"
1;"SPHSPP";0;"Current";"TRE"
1;"STEFUS";12;"Current";"TRE"
1;"STEHIS";0;"Current";"TRE"
1;"STEPIC";0;"Current";"TRE"
1;"STEVAR";0;"Current";"TRE"
1;"SYNINT";0;"Current";"TRE"
1;"SYNSPP";0;"Current";"TRE"
1;"SYNSYN";0;"Current";"TRE"
1;"THANOR";0;"Current";"TRE"
2;"ABUSAX";0;"Current";"TRE"
2;"ACABAH";15;"Current";"TRE"
2;"ACACHI";0;"Current";"TRE"
2;"ACACOE";0;"Current";"TRE"
